iso3_o,iso3_d,comlang_off,comcol,contig
AGO,BDI,0,0,0
AGO,BEN,0,0,0
AGO,BFA,0,0,0
AGO,BWA,0,0,0
AGO,CAF,0,0,0
AGO,CIV,0,0,0
AGO,CMR,0,0,0
AGO,COD,0,0,1
AGO,COG,0,0,1
AGO,DZA,0,0,0
AGO,EGY,0,0,0
AGO,ERI,0,0,0
AGO,ETH,0,0,0
AGO,GAB,0,0,0
AGO,GHA,0,0,0
AGO,GIN,0,0,0
AGO,GMB,0,0,0
AGO,GNB,1,1,0
AGO,KEN,0,0,0
AGO,LBR,0,0,0
AGO,LBY,0,0,0
AGO,LSO,0,0,0
AGO,MAR,0,0,0
AGO,MDG,0,0,0
AGO,MLI,0,0,0
AGO,MOZ,1,1,0
AGO,MRT,0,0,0
AGO,MWI,0,0,0
AGO,NAM,0,0,1
AGO,NER,0,0,0
AGO,NGA,0,0,0
AGO,RWA,0,0,0
AGO,SDN,0,0,0
AGO,SEN,0,0,0
AGO,SLE,0,0,0
AGO,SOM,0,0,0
AGO,SWZ,0,0,0
AGO,TCD,0,0,0
AGO,TGO,0,0,0
AGO,TUN,0,0,0
AGO,TZA,0,0,0
AGO,UGA,0,0,0
AGO,ZAF,0,0,0
AGO,ZMB,0,0,1
AGO,ZWE,0,0,0
BDI,AGO,0,0,0
BDI,BEN,1,0,0
BDI,BFA,1,0,0
BDI,BWA,0,0,0
BDI,CAF,1,0,0
BDI,CIV,1,0,0
BDI,CMR,1,0,0
BDI,COD,1,1,1
BDI,COG,1,0,0
BDI,DZA,1,0,0
BDI,EGY,0,0,0
BDI,ERI,0,0,0
BDI,ETH,0,0,0
BDI,GAB,1,0,0
BDI,GHA,0,0,0
BDI,GIN,1,0,0
BDI,GMB,0,0,0
BDI,GNB,0,0,0
BDI,KEN,0,0,0
BDI,LBR,0,0,0
BDI,LBY,0,0,0
BDI,LSO,0,0,0
BDI,MAR,1,0,0
BDI,MDG,1,0,0
BDI,MLI,1,0,0
BDI,MOZ,0,0,0
BDI,MRT,0,0,0
BDI,MWI,0,0,0
BDI,NAM,0,0,0
BDI,NER,1,0,0
BDI,NGA,0,0,0
BDI,RWA,1,1,1
BDI,SDN,0,0,0
BDI,SEN,1,0,0
BDI,SLE,0,0,0
BDI,SOM,0,0,0
BDI,SWZ,0,0,0
BDI,TCD,1,0,0
BDI,TGO,1,0,0
BDI,TUN,1,0,0
BDI,TZA,0,0,1
BDI,UGA,0,0,0
BDI,ZAF,0,0,0
BDI,ZMB,0,0,0
BDI,ZWE,0,0,0
BEN,AGO,0,0,0
BEN,BDI,1,0,0
BEN,BFA,1,1,1
BEN,BWA,0,0,0
BEN,CAF,1,1,0
BEN,CIV,1,1,0
BEN,CMR,1,1,0
BEN,COD,1,0,0
BEN,COG,1,1,0
BEN,DZA,1,1,0
BEN,EGY,0,0,0
BEN,ERI,0,0,0
BEN,ETH,0,0,0
BEN,GAB,1,1,0
BEN,GHA,0,0,0
BEN,GIN,1,1,0
BEN,GMB,0,0,0
BEN,GNB,0,0,0
BEN,KEN,0,0,0
BEN,LBR,0,0,0
BEN,LBY,0,0,0
BEN,LSO,0,0,0
BEN,MAR,1,1,0
BEN,MDG,1,1,0
BEN,MLI,1,1,0
BEN,MOZ,0,0,0
BEN,MRT,0,1,0
BEN,MWI,0,0,0
BEN,NAM,0,0,0
BEN,NER,1,1,1
BEN,NGA,0,0,1
BEN,RWA,1,0,0
BEN,SDN,0,0,0
BEN,SEN,1,1,0
BEN,SLE,0,0,0
BEN,SOM,0,0,0
BEN,SWZ,0,0,0
BEN,TCD,1,1,0
BEN,TGO,1,1,1
BEN,TUN,1,1,0
BEN,TZA,0,0,0
BEN,UGA,0,0,0
BEN,ZAF,0,0,0
BEN,ZMB,0,0,0
BEN,ZWE,0,0,0
BFA,AGO,0,0,0
BFA,BDI,1,0,0
BFA,BEN,1,1,1
BFA,BWA,0,0,0
BFA,CAF,1,1,0
BFA,CIV,1,1,1
BFA,CMR,1,1,0
BFA,COD,1,0,0
BFA,COG,1,1,0
BFA,DZA,1,1,0
BFA,EGY,0,0,0
BFA,ERI,0,0,0
BFA,ETH,0,0,0
